,HeavyAtomCount,NHOHCount,NOCount,NumHAcceptors,NumHDonors,NumHeteratoms,NumRotatableBonds,NumValenceElectrons,NumAromaticRings,NumAliphaticHeterocycles,RingCount,MW,LogP,MR,TPSA
398,29,1,5,4,1,6,6,152,2,2,4,4,2.7817800000000004,109.21020000000004,52.650000000000006
399,14,2,3,3,2,5,1,74,1,1,2,2,1.9838899999999997,59.56540000000002,36.42
400,16,2,6,5,2,6,2,86,1,1,2,2,1.03599,56.14550000000002,84.32000000000001
401,27,0,4,5,0,6,4,144,2,2,4,4,3.481950000000003,112.07080000000005,40.620000000000005
402,10,0,1,1,0,7,2,62,0,0,0,0,2.0835,18.040000000000003,9.23
403,19,2,4,2,2,4,2,94,2,1,3,3,1.66018,69.80640000000004,58.2
404,28,0,2,2,0,2,8,144,3,0,3,3,5.369560000000005,118.17400000000004,12.47
405,10,0,0,0,0,0,0,60,0,0,1,1,3.6128000000000027,46.03000000000002,0.0
406,7,0,0,0,0,5,0,44,0,0,0,0,2.2392000000000003,19.878,0.0
407,28,2,6,5,2,7,8,146,3,0,3,3,4.210570000000002,112.69340000000003,83.56
408,22,0,1,1,0,1,4,114,2,0,2,2,4.394170000000004,94.18100000000005,3.24
409,35,2,3,3,2,3,8,186,3,1,4,4,6.226960000000009,143.3185999999999,43.7
410,7,0,1,1,0,1,2,44,0,0,0,0,1.8214000000000001,31.37899999999998,9.23
411,5,1,1,1,1,1,0,32,0,0,0,0,0.7771999999999999,21.971799999999995,20.23
412,10,0,0,0,0,0,0,54,1,0,1,1,2.9293900000000015,44.87600000000003,0.0
413,7,0,1,1,0,1,1,44,0,0,0,0,1.8214000000000001,31.37899999999998,9.23
414,6,0,1,1,0,1,0,38,0,0,0,0,1.4313,26.761999999999986,9.23
415,13,1,6,5,1,6,0,68,2,0,2,2,0.3316599999999998,44.58570000000001,72.68
416,8,2,2,3,1,3,2,44,1,0,1,1,0.5895900000000001,34.60639999999999,38.91
417,16,2,4,3,2,5,4,90,0,1,1,1,1.3498999999999994,65.67940000000003,58.2
418,25,0,2,4,0,4,4,132,2,2,4,4,4.800350000000004,110.74200000000005,6.48
419,23,1,2,2,1,2,0,124,0,0,4,4,3.882600000000004,90.49280000000005,37.3
420,16,2,3,3,2,3,6,90,1,0,1,1,1.2156,64.94350000000004,41.489999999999995
421,7,0,0,0,0,0,0,36,1,0,1,1,1.94031,30.91299999999999,0.0
422,22,1,2,1,1,2,5,120,0,0,1,1,5.602600000000005,93.76180000000005,37.3
423,5,0,0,0,0,3,0,30,0,0,0,0,2.5017000000000005,25.642,0.0
424,30,1,4,5,1,8,6,162,2,2,4,4,3.2761500000000017,112.82380000000006,29.950000000000003
425,9,0,1,1,0,4,0,48,1,0,1,1,1.4989,24.111,12.89
426,24,0,2,3,0,6,4,128,2,1,3,3,4.227850000000004,91.41200000000006,6.48
427,3,0,0,0,0,0,0,18,0,0,1,1,1.1703,13.851000000000003,0.0
428,9,0,0,0,0,0,0,54,0,0,1,1,3.0786000000000016,41.343,0.0
429,4,4,3,1,2,3,0,24,0,0,0,0,-0.9762,13.7708,69.11
430,33,0,6,6,0,6,13,180,2,0,2,2,3.1340200000000022,128.68400000000005,63.95
431,8,0,0,0,0,0,1,40,1,0,1,1,2.27489,36.26700000000001,0.0
432,8,1,2,3,1,3,2,44,1,0,1,1,1.19429,35.4537,24.92
433,15,3,6,6,2,6,2,82,1,1,2,2,0.014679999999999915,52.42320000000002,90.36999999999999
434,28,1,3,3,1,3,6,148,2,2,4,4,4.765160000000004,114.25520000000004,32.34
435,19,2,9,6,2,9,3,102,1,1,2,2,1.3802699999999999,63.85350000000003,126.57000000000002
436,14,2,2,3,1,3,3,72,2,0,2,2,1.8765699999999998,58.72040000000002,38.91
